symbol,open_time,close_time,direction,confidence,entry,sl,tp,sl_pips,tp_pips,outcome,pnl_pips
EURUSDm,2024-06-12 00:00:00,2024-06-12 12:00:00,BUY,0.5917,1.07412,1.068,1.08331,61.2,91.9,TP,91.9
EURUSDm,2024-06-12 04:00:00,2024-06-12 12:00:00,BUY,0.5667,1.07455,1.06917,1.08262,53.8,80.7,TP,80.7
EURUSDm,2024-07-11 08:00:00,2024-07-15 08:00:00,BUY,0.6128,1.08557,1.08183,1.09118,37.4,56.1,TP,56.1
EURUSDm,2024-08-19 00:00:00,2024-08-20 16:00:00,BUY,0.6219,1.10399,1.09876,1.11183,52.3,78.4,TP,78.4
EURUSDm,2024-08-19 04:00:00,2024-08-20 16:00:00,BUY,0.5795,1.10437,1.09908,1.1123,52.9,79.3,TP,79.3
EURUSDm,2024-08-19 08:00:00,2024-08-20 16:00:00,BUY,0.7404,1.10431,1.09878,1.11261,55.3,83.0,TP,83.0
EURUSDm,2024-08-19 12:00:00,2024-08-21 16:00:00,BUY,0.7915,1.10702,1.10079,1.11637,62.3,93.5,TP,93.5
EURUSDm,2024-08-19 20:00:00,2024-08-21 16:00:00,BUY,0.5505,1.10863,1.10358,1.1162,50.5,75.7,TP,75.7
EURUSDm,2024-08-20 00:00:00,2024-08-21 16:00:00,BUY,0.7796,1.10765,1.1025,1.11538,51.5,77.3,TP,77.3
EURUSDm,2024-08-20 04:00:00,2024-08-21 16:00:00,BUY,0.7523,1.10876,1.10351,1.11664,52.5,78.8,TP,78.8
EURUSDm,2024-08-20 08:00:00,2024-08-21 16:00:00,BUY,0.6351,1.10817,1.10285,1.11616,53.3,79.9,TP,79.9
EURUSDm,2024-08-20 12:00:00,2024-08-23 12:00:00,BUY,0.6547,1.11059,1.10482,1.11924,57.7,86.5,TP,86.5
EURUSDm,2024-08-21 04:00:00,2024-08-23 16:00:00,BUY,0.6435,1.1115,1.10584,1.12,56.6,85.0,TP,85.0
EURUSDm,2024-08-21 08:00:00,2024-08-23 16:00:00,BUY,0.5994,1.11156,1.10592,1.12002,56.4,84.6,TP,84.6
EURUSDm,2024-08-21 12:00:00,2024-08-29 08:00:00,BUY,0.6056,1.11434,1.10795,1.12392,63.9,95.8,SL,-63.9
EURUSDm,2024-08-23 00:00:00,2024-08-29 12:00:00,BUY,0.5578,1.11258,1.10582,1.12272,67.6,101.4,SL,-67.6
EURUSDm,2024-09-18 20:00:00,2024-10-01 16:00:00,BUY,0.5644,1.1115,1.10475,1.12163,67.5,101.2,SL,-67.5
EURUSDm,2024-11-07 16:00:00,2024-11-14 08:00:00,SELL,0.6335,1.07802,1.09473,1.05296,167.1,250.6,TP,250.6
EURUSDm,2024-11-07 20:00:00,2024-11-14 04:00:00,SELL,0.6182,1.07937,1.09623,1.05408,168.6,252.9,TP,252.9
EURUSDm,2024-11-08 00:00:00,2024-11-14 08:00:00,SELL,0.6656,1.07764,1.09418,1.05283,165.4,248.1,TP,248.1
EURUSDm,2024-11-08 04:00:00,2024-11-14 04:00:00,SELL,0.6461,1.0778,1.09409,1.05336,162.9,244.4,TP,244.4
EURUSDm,2024-11-08 08:00:00,2024-11-13 08:00:00,SELL,0.5778,1.07812,1.09058,1.05943,124.6,186.9,TP,186.9
EURUSDm,2024-11-08 12:00:00,2024-11-13 12:00:00,SELL,0.6259,1.07465,1.08609,1.05748,114.4,171.7,TP,171.7
EURUSDm,2024-11-08 16:00:00,2024-11-14 00:00:00,SELL,0.6105,1.07116,1.08225,1.05452,110.9,166.4,TP,166.4
EURUSDm,2024-11-08 20:00:00,2024-11-13 12:00:00,SELL,0.5938,1.07164,1.08173,1.0565,100.9,151.4,TP,151.4
EURUSDm,2024-11-10 20:00:00,2024-11-13 12:00:00,SELL,0.6144,1.07113,1.08082,1.05659,96.9,145.4,TP,145.4
EURUSDm,2024-11-11 00:00:00,2024-11-13 12:00:00,SELL,0.691,1.07151,1.08134,1.05677,98.2,147.4,TP,147.4
EURUSDm,2024-11-11 04:00:00,2024-11-14 04:00:00,SELL,0.6857,1.06883,1.07882,1.05384,99.9,149.9,TP,149.9
EURUSDm,2024-11-12 00:00:00,2024-11-14 08:00:00,SELL,0.5937,1.06366,1.07191,1.05129,82.5,123.7,TP,123.7
EURUSDm,2024-11-21 00:00:00,2024-11-22 08:00:00,SELL,0.6026,1.05511,1.06337,1.04272,82.6,123.9,TP,123.9
EURUSDm,2024-11-21 04:00:00,2024-11-22 08:00:00,SELL,0.5541,1.05344,1.06199,1.04061,85.5,128.3,TP,128.3
EURUSDm,2024-12-29 20:00:00,2024-12-31 12:00:00,SELL,0.6529,1.04277,1.04769,1.03538,49.2,73.9,TP,73.9
EURUSDm,2024-12-30 00:00:00,2024-12-31 16:00:00,SELL,0.6589,1.04228,1.04721,1.03489,49.3,73.9,TP,73.9
EURUSDm,2024-12-30 12:00:00,2025-01-02 16:00:00,SELL,0.5591,1.03786,1.04503,1.02711,71.7,107.5,TP,107.5
EURUSDm,2024-12-31 00:00:00,2025-01-02 12:00:00,SELL,0.5519,1.04068,1.04797,1.02974,72.9,109.4,TP,109.4
EURUSDm,2025-01-07 00:00:00,2025-01-10 12:00:00,SELL,0.5731,1.03908,1.04813,1.02551,90.5,135.7,TP,135.7
EURUSDm,2025-01-07 04:00:00,2025-01-10 12:00:00,SELL,0.6646,1.04126,1.05084,1.02688,95.8,143.8,TP,143.8
EURUSDm,2025-01-07 08:00:00,2025-01-10 12:00:00,SELL,0.5682,1.04113,1.05095,1.0264,98.2,147.3,TP,147.3
EURUSDm,2025-01-07 12:00:00,2025-01-10 12:00:00,SELL,0.6096,1.0371,1.04766,1.02126,105.6,158.4,TP,158.4
EURUSDm,2025-01-08 00:00:00,2025-01-13 08:00:00,SELL,0.5527,1.03457,1.0451,1.01878,105.3,157.9,TP,157.9
EURUSDm,2025-01-08 04:00:00,2025-01-22 08:00:00,SELL,0.5792,1.03305,1.04394,1.01672,108.9,163.3,SL,-108.9
EURUSDm,2025-01-31 04:00:00,2025-02-02 20:00:00,SELL,0.5748,1.0402,1.05006,1.0254,98.6,148.0,TP,148.0
EURUSDm,2025-01-31 08:00:00,2025-02-03 00:00:00,SELL,0.5601,1.03738,1.04785,1.02167,104.7,157.1,TP,157.1
EURUSDm,2025-03-03 00:00:00,2025-03-04 12:00:00,BUY,0.5684,1.04181,1.03332,1.05454,84.9,127.3,TP,127.3
EURUSDm,2025-03-03 16:00:00,2025-03-04 20:00:00,BUY,0.5684,1.04742,1.03828,1.06114,91.4,137.2,TP,137.2
EURUSDm,2025-03-04 04:00:00,2025-03-04 20:00:00,BUY,0.5571,1.04942,1.03997,1.06359,94.5,141.7,TP,141.7
EURUSDm,2025-03-04 08:00:00,2025-03-05 08:00:00,BUY,0.6093,1.05449,1.04418,1.06996,103.1,154.7,TP,154.7
EURUSDm,2025-03-04 20:00:00,2025-03-06 00:00:00,BUY,0.6885,1.06243,1.05013,1.08088,123.0,184.5,TP,184.5
EURUSDm,2025-03-05 08:00:00,2025-03-07 12:00:00,BUY,0.6508,1.068,1.05422,1.08867,137.8,206.7,TP,206.7
EURUSDm,2025-03-06 12:00:00,2025-04-03 08:00:00,BUY,0.7215,1.08182,1.06664,1.1046,151.8,227.8,TP,227.8
EURUSDm,2025-03-06 16:00:00,2025-04-03 08:00:00,BUY,0.7335,1.08029,1.0648,1.10352,154.9,232.3,TP,232.3
EURUSDm,2025-03-06 20:00:00,2025-04-03 08:00:00,BUY,0.7837,1.07884,1.0641,1.10096,147.5,221.2,TP,221.2
EURUSDm,2025-03-07 00:00:00,2025-04-03 08:00:00,BUY,0.7365,1.08068,1.06707,1.10109,136.1,204.1,TP,204.1
EURUSDm,2025-03-07 04:00:00,2025-04-03 08:00:00,BUY,0.741,1.0831,1.06946,1.10356,136.4,204.6,TP,204.6
EURUSDm,2025-03-07 08:00:00,2025-04-03 08:00:00,BUY,0.6294,1.08507,1.07101,1.10616,140.6,210.9,TP,210.9
EURUSDm,2025-03-10 08:00:00,2025-04-03 08:00:00,BUY,0.8031,1.08517,1.0719,1.10508,132.7,199.1,TP,199.1
EURUSDm,2025-03-10 12:00:00,2025-04-03 08:00:00,BUY,0.7081,1.0838,1.07047,1.1038,133.3,200.0,TP,200.0
EURUSDm,2025-03-10 16:00:00,2025-04-03 08:00:00,BUY,0.7323,1.08326,1.07073,1.10205,125.3,187.9,TP,187.9
EURUSDm,2025-03-10 20:00:00,2025-04-03 08:00:00,BUY,0.8183,1.08404,1.07268,1.10107,113.6,170.3,TP,170.3
EURUSDm,2025-03-11 00:00:00,2025-03-26 20:00:00,BUY,0.7029,1.08554,1.07434,1.10233,112.0,167.9,SL,-112.0
EURUSDm,2025-03-11 04:00:00,2025-03-26 12:00:00,BUY,0.6829,1.08918,1.0773,1.107,118.8,178.2,SL,-118.8
EURUSDm,2025-03-13 20:00:00,2025-03-26 16:00:00,BUY,0.653,1.08561,1.07671,1.09896,89.0,133.5,SL,-89.0
EURUSDm,2025-03-14 00:00:00,2025-03-26 16:00:00,BUY,0.6094,1.08467,1.07587,1.09786,88.0,131.9,SL,-88.0
EURUSDm,2025-03-14 04:00:00,2025-03-26 16:00:00,BUY,0.7121,1.08401,1.07512,1.09735,88.9,133.4,SL,-88.9
EURUSDm,2025-03-14 08:00:00,2025-03-24 12:00:00,BUY,0.6933,1.08978,1.07964,1.10499,101.4,152.1,SL,-101.4
EURUSDm,2025-04-07 16:00:00,2025-04-11 00:00:00,BUY,0.5982,1.09174,1.06702,1.12882,247.2,370.8,TP,370.8
EURUSDm,2025-04-07 20:00:00,2025-04-11 00:00:00,BUY,0.554,1.09159,1.06728,1.12806,243.2,364.7,TP,364.7
EURUSDm,2025-04-08 00:00:00,2025-04-11 00:00:00,BUY,0.7476,1.09645,1.07179,1.13344,246.6,369.9,TP,369.9
